,pyname,name,range
341,a_filter_balance,A Filter Balance,"(-100.0, 100.0, 0.2)"
342,b_filter_1_type,B Filter 1 Type,"(None, None, None)"
343,b_osc_1_sub_mix,B Osc 1 Sub Mix,"(0.0, 100.0, 0.1)"
344,fx_g1_param_1,FX G1 Param 1,"(None, None, None)"
345,a_scene_lfo_2_attack,A Scene LFO 2 Attack,"(None, None, None)"
346,b_feedback,B Feedback,"(-100.0, 100.0, 0.2)"
347,a_scene_lfo_5_phase,A Scene LFO 5 Phase,"(0.0, 100.0, 0.1)"
348,b_lfo_6_hold,B LFO 6 Hold,"(None, None, None)"
349,b_scene_lfo_1_hold,B Scene LFO 1 Hold,"(None, None, None)"
350,fx_s4_param_1,FX S4 Param 1,"(None, None, None)"
351,a_filter_eg_release,A Filter EG Release,"(None, None, None)"
352,fx_g2_param_10,FX G2 Param 10,"(None, None, None)"
353,fx_s1_param_2,FX S1 Param 2,"(None, None, None)"
354,fx_a3_param_6,FX A3 Param 6,"(None, None, None)"
355,b_scene_lfo_1_amplitude,B Scene LFO 1 Amplitude,"(0.0, 100.0, 0.1)"
356,b_lfo_2_phase,B LFO 2 Phase,"(0.0, 100.0, 0.1)"
357,a_amp_eg_attack_shape,A Amp EG Attack Shape,"(None, None, None)"
358,fx_g1_param_8,FX G1 Param 8,"(None, None, None)"
359,b_scene_lfo_5_trigger_mode,B Scene LFO 5 Trigger Mode,"(None, None, None)"
360,b_filter_balance,B Filter Balance,"(-100.0, 100.0, 0.2)"
361,b_osc_2_keytrack,B Osc 2 Keytrack,"(False, True, 1)"
362,b_amp_eg_attack,B Amp EG Attack,"(None, None, None)"
363,a_scene_lfo_6_type,A Scene LFO 6 Type,"(None, None, None)"
364,a_scene_lfo_3_rate,A Scene LFO 3 Rate,"(0.008, 512.0, None)"
365,b_fm_depth,B FM Depth,"(-48.0, 24.0, None)"
366,b_scene_lfo_6_decay,B Scene LFO 6 Decay,"(None, None, None)"
367,fx_g4_param_8,FX G4 Param 8,"(None, None, None)"
368,fx_s1_param_12,FX S1 Param 12,"(None, None, None)"
369,b_osc_1_shape,B Osc 1 Shape,"(-100.0, 100.0, 0.2)"
370,fx_b1_param_3,FX B1 Param 3,"(None, None, None)"
371,scene_mode,Scene Mode,"(None, None, None)"
372,a_lfo_4_rate,A LFO 4 Rate,"(0.008, 512.0, None)"
373,b_scene_lfo_3_decay,B Scene LFO 3 Decay,"(None, None, None)"
374,fx_b1_param_5,FX B1 Param 5,"(None, None, None)"
375,a_osc_1_width_2,A Osc 1 Width 2,"(0.0, 100.0, 0.1)"
